material_id,project_id,project_budget,transaction_id,transaction_date,quantity,transport_mode,distance_covered,CO2_emission,project_name,project_start_date,project_end_date,project_location,supplier_id,material_name,material_category,supplier_name,supplier_location,supplier_rating
290,32,248950.37356851666,1,2020-01-01,2,Rail,168.03861162671606,138.93697900745806,Project_32,2022-08-31,2023-02-28,City_D,1,Material_290,Binder,Supplier_1,City_E,2.0
973,62,96226.48180300942,2,2020-01-01,74,Rail,338.22773781549853,3824.832060462899,Project_62,2025-02-28,2025-08-28,City_A,5,Material_973,Structural,Supplier_5,City_F,4.0
447,1,378840.8485445615,3,2020-01-01,54,Truck,378.67837987449303,3683.671228786419,Project_1,2020-01-31,2020-07-31,City_D,5,Material_447,Binder,Supplier_5,City_F,4.0
49,90,270037.4610087137,4,2020-01-01,24,Truck,190.1561492269182,1152.487399883585,Project_90,2027-06-30,2027-12-30,City_D,6,Material_49,Binder,Supplier_6,City_E,1.0
781,52,152404.84224091633,5,2020-01-01,10,Truck,410.9108264233291,2677.8490194696,Project_52,2024-04-30,2024-10-30,City_A,3,Material_781,Binder,Supplier_3,City_G,5.0
38,42,76142.59103470482,6,2020-01-01,16,Drone,277.85514705624684,1132.4382539264209,Project_42,2023-06-30,2023-12-30,City_A,10,Material_38,Insulation,Supplier_10,City_F,3.0
398,68,214864.93793364422,7,2020-01-01,7,Truck,266.75006573668037,336.6643318552656,project_68,2025-08-31,2026-02-28,City_A,5,Material_398,Binder,Supplier_5,City_F,4.0
12,91,249009.00211573683,8,2020-01-01,66,Truck,122.79639289470099,3142.658146509346,Project_91,2027-07-31,2028-01-31,City_B,2,Material_12,Insulation,Supplier_2,City_E,5.0
170,84,462789.0637229991,9,2020-01-01,65,Truck,474.17383408650943,7014.657344076113,project_84,2026-12-31,2027-06-30,City_B,2,Material_170,Structural,Supplier_2,City_E,5.0
500,43,111018.97531515686,10,2020-01-01,58,Rail,266.75006573668037,6648.723846354253,Project_43,2023-07-31,2024-01-31,City_C,5,Material_500,Insulation,Supplier_5,City_F,4.0
44,19,255528.09819480203,11,2020-01-02,20,Drone,299.8474945381093,2658.255422900184,Project_19,2021-07-31,2022-01-31,City_B,9,Material_44,Binder,Supplier_9,City_G,5.0
942,37,412111.918759355,12,2020-01-02,9,Drone,174.27929403344692,392.030626655872,Project_37,2023-01-31,2023-07-31,City_A,3,Material_942,Insulation,Supplier_3,City_G,5.0
6,61,53928.488449120356,13,2020-01-02,65,Truck,151.869632902587,4397.218851253251,Project_61,2025-01-31,2025-07-31,City_A,3,Material_6,Binder,Supplier_3,City_G,5.0
