transaction_id,project_id,material_id,transaction_date,quantity,transport_mode,distance_covered,CO2_emission,supplier_rating,project_budget
1,32,290,2020-01-01,2,Rail,168.03861162671606,138.93697900745806,,
2,62,973,2020-01-01,74,Rail,338.22773781549853,3824.832060462899,,
3,1,447,2020-01-01,54,Truck,378.678379874493,3683.671228786419,,
4,90,49,2020-01-01,24,Truck,190.1561492269182,1152.487399883585,,
5,52,781,2020-01-01,10,Truck,410.9108264233291,,,
6,42,38,2020-01-01,16,Drone,277.85514705624684,1132.4382539264209,,
7,68,398,2020-01-01,7,Truck,,336.6643318552656,,
8,91,12,2020-01-01,66,Truck,122.796392894701,3142.658146509346,,
9,84,170,2020-01-01,65,Truck,474.17383408650943,7014.657344076113,,
10,43,500,2020-01-01,58,Rail,,6648.723846354253,,
11,19,44,2020-01-02,20,Drone,299.8474945381093,2658.255422900184,,
12,37,942,2020-01-02,9,Drone,174.27929403344692,392.030626655872,,
13,61,6,2020-01-02,65,Truck,151.869632902587,4397.218851253251,,
14,49,608,2020-01-02,95,Truck,206.6242008585376,3442.278171791528,,
15,63,207,2020-01-02,77,Drone,262.2181553300185,6055.423356352161,,
16,53,407,2020-01-02,92,Rail,243.3128873050192,9550.123145825111,,
17,33,923,2020-01-02,80,Rail,255.26546378377603,,,
18,2,44,2020-01-02,27,Truck,121.09106101981672,,,
19,77,444,2020-01-02,30,Drone,360.50707633389663,1278.2330227108764,,
20,15,998,2020-01-02,10,Rail,25.12143666785334,119.37566092647818,,
21,58,208,2020-01-03,26,Rail,390.3294763740734,4638.453697036644,,
22,12,513,2020-01-03,93,Truck,420.31654324345897,18378.966036170776,,
23,58,302,2020-01-03,38,Truck,307.66225021283105,5264.544670902583,,
24,46,193,2020-01-03,71,Rail,322.5363809194557,10375.228410663778,,
25,16,433,2020-01-03,25,Rail,220.79272991596045,1697.0155523351957,,
26,30,650,2020-01-03,80,Rail,347.24275446476616,3112.52737651942,,
27,9,53,2020-01-03,96,Rail,301.472454721452,5511.290342621098,,
28,45,204,2020-01-03,39,Truck,291.3940037503339,2319.610069463767,,
29,25,218,2020-01-03,56,Truck,284.7568303670237,4570.366017615033,,
30,19,197,2020-01-03,41,Rail,78.8943439580051,691.3500958203074,,
31,20,785,2020-01-04,49,Rail,375.0900741415009,5959.392337819328,,
32,32,570,2020-01-04,58,Truck,253.30083446384825,5226.9319555505945,,
33,96,660,2020-01-04,72,Truck,411.1726632928297,5146.913465215613,,
34,68,121,2020-01-04,2,Truck,153.34852966295009,94.9794342111795,,
35,1,547,2020-01-04,62,Drone,221.92034861511985,4789.3494397681225,,
36,66,270,2020-01-04,6,Rail,372.6952849711883,427.74343642091424,,
37,77,222,2020-01-04,45,Rail,185.18853282597496,2017.830551969595,,
38,96,9,2020-01-04,68,Truck,195.30088489864733,4539.68331497638,,
39,9,204,2020-01-04,31,Rail,414.6379213437381,5811.752682481088,,
40,85,836,2020-01-04,21,Rail,110.0873563016687,,,
41,73,551,2020-01-05,54,Truck,,1719.3335846936684,,
42,89,787,2020-01-05,77,Drone,160.63135320535974,4226.88268095776,,
43,72,325,2020-01-05,85,Drone,87.07374636688624,748.3240493347789,,
44,88,502,2020-01-05,28,Drone,191.9424724130521,,,
45,82,223,2020-01-05,53,Drone,419.42083396371714,2633.3510617611346,,
46,44,499,2020-01-05,70,Drone,,,,
47,93,901,2020-01-05,10,Drone,211.7896037533789,438.1425466878337,,
48,19,326,2020-01-05,7,Drone,110.3412633897336,203.280016832361,,
